year,geo_name,geo,income
2015,"Census Tract 32.14","14000US06073003214",64068.0
2013,"Census Tract 100.14","14000US06073010014",90971.0
2014,"Census Tract 100.14","14000US06073010014",92256.0
2015,"Census Tract 100.14","14000US06073010014",90132.0
2013,"Census Tract 100.15","14000US06073010015",73047.0
2014,"Census Tract 100.15","14000US06073010015",77356.0
2015,"Census Tract 100.15","14000US06073010015",78125.0
2013,"Census Tract 170.51","14000US06073017051",68712.0
2014,"Census Tract 170.51","14000US06073017051",72159.0
2015,"Census Tract 170.51","14000US06073017051",78167.0
2013,"Census Tract 31.03","14000US06073003103",57429.0
2014,"Census Tract 31.03","14000US06073003103",57587.0
2015,"Census Tract 31.03","14000US06073003103",55234.0
2013,"Census Tract 31.05","14000US06073003105",57586.0
2014,"Census Tract 31.05","14000US06073003105",59485.0
2015,"Census Tract 31.05","14000US06073003105",60156.0
